customerid,contract_key,payment_method_key,service_key,churn_reason_key,count,tenure_months,monthly_charges,total_charges,churn_value,churn_score,cltv,is_churned,is_month_to_month,revenue_at_risk
0486-HECZI,2,3,308,13,1,55,96.75,5238.9,1,75,5154,True,True,96.75
4846-WHAFZ,2,3,258,9,1,37,76.5,2868.15,1,67,2793,True,True,76.5
5299-RULOA,2,3,293,19,1,10,100.25,1064.65,1,87,5998,True,True,100.25
0404-SWRVG,2,3,258,20,1,3,74.4,229.55,1,76,4415,True,True,74.4
4412-YLTKF,2,3,266,21,1,27,78.05,2135.5,1,95,4638,True,True,78.05
6207-WIOLX,2,2,60,11,1,25,58.6,1502.65,1,99,4190,True,True,58.6
3091-FYHKI,2,3,2,15,1,1,35.45,35.45,1,80,2301,True,True,35.45
2372-HWUHI,1,3,65,8,1,2,44.35,81.25,1,76,2570,True,True,44.35
0390-DCFDQ,2,4,129,8,1,1,70.45,70.45,1,76,3964,True,True,70.45
4080-OGPJL,1,3,231,8,1,8,71.15,563.65,1,66,2662,True,True,71.15
2135-RXIHG,2,3,65,17,1,1,45.65,45.65,1,73,2600,True,True,45.65
3874-EQOEP,1,4,261,18,1,7,95.0,655.5,1,94,2786,True,True,95.0
0867-MKZVY,1,3,290,19,1,20,82.4,1592.35,1,86,5719,True,True,82.4
3376-BMGFE,2,1,129,20,1,4,70.9,273.0,1,75,4287,True,True,70.9
3445-HXXGF,2,3,26,21,1,58,45.3,2651.2,1,100,5444,True,True,45.3
1875-QIVME,2,3,273,11,1,2,104.4,242.8,1,83,4690,True,True,104.4
0691-JVSYA,4,1,140,15,1,53,94.85,5000.2,1,80,4328,True,False,94.85
2656-FMOKZ,2,4,258,12,1,15,74.45,1145.7,1,99,5717,True,True,74.45
2070-FNEXE,1,1,161,10,1,7,76.45,503.6,1,81,4419,True,True,76.45
6317-YPKDH,1,1,17,13,1,1,29.95,29.95,1,95,4534,True,True,29.95
9367-WXLCH,1,1,259,9,1,8,84.5,662.65,1,86,2152,True,True,84.5
1918-ZBFQJ,2,3,153,19,1,13,79.25,1111.65,1,73,5142,True,True,79.25
1024-GUALD,2,3,1,20,1,1,24.8,24.8,1,94,4851,True,True,24.8
2472-OVKUP,2,3,154,21,1,6,91.0,531.0,1,94,2283,True,True,91.0
1285-OKIPP,1,3,130,11,1,1,79.9,79.9,1,98,3394,True,True,79.9
7825-ECJRF,2,3,176,15,1,19,106.6,1934.45,1,71,3764,True,True,106.6
7841-TZDMQ,2,2,65,8,1,2,46.0,84.5,1,76,2667,True,True,46.0
9408-SSNVZ,2,3,129,8,1,4,70.15,268.35,1,67,2227,True,True,70.15
0742-MOABM,1,4,69,8,1,4,50.05,179.35,1,82,3394,True,True,50.05
2232-DMLXU,1,4,67,17,1,1,55.2,55.2,1,81,3638,True,True,55.2
8937-RDTHP,2,4,162,18,1,1,84.6,84.6,1,66,2484,True,True,84.6
1251-KRREG,2,4,210,19,1,2,54.4,114.1,1,81,2556,True,True,54.4
0094-OIFMO,2,3,148,20,1,11,95.0,1120.3,1,85,5980,True,True,95.0
9947-OTFQU,2,3,145,21,1,15,74.4,1074.3,1,86,4616,True,True,74.4
0322-YINQP,2,4,97,11,1,1,48.55,48.55,1,77,5687,True,True,48.55
4629-NRXKX,1,3,129,15,1,2,70.4,147.15,1,75,5687,True,True,70.4
9514-JDSKI,1,3,19,12,1,1,40.2,40.2,1,65,5828,True,True,40.2
4959-JOSRX,2,2,65,10,1,2,44.6,80.55,1,99,4884,True,True,44.6
7273-TEFQD,2,3,10,13,1,3,41.15,132.2,1,96,2314,True,True,41.15
3606-TWKGI,2,3,285,9,1,13,106.9,1364.3,1,84,2494,True,True,106.9
6323-AYBRX,5,4,193,19,1,59,19.35,1099.6,1,83,5084,True,False,19.35
4385-GZQXV,2,3,136,20,1,16,94.45,1511.2,1,81,3810,True,True,94.45
6366-ZGQGL,1,1,1,21,1,1,24.8,24.8,1,73,5087,True,True,24.8
5940-AHUHD,1,4,129,11,1,1,70.6,70.6,1,69,3338,True,True,70.6
6432-TWQLB,2,3,278,15,1,5,85.4,401.1,1,80,3676,True,True,85.4
4484-GLZOU,2,3,285,8,1,52,105.05,5624.85,1,65,4839,True,True,105.05
9512-UIBFX,1,4,140,8,1,18,95.15,1779.95,1,68,4643,True,True,95.15
5583-SXDAG,1,3,129,8,1,1,70.0,70.0,1,97,4094,True,True,70.0
3488-PGMQJ,2,3,145,17,1,8,74.5,606.55,1,80,4345,True,True,74.5
3580-REOAC,2,2,65,18,1,10,44.85,435.4,1,83,4061,True,True,44.85
7534-BFESC,2,3,258,19,1,24,76.1,1712.7,1,98,2018,True,True,76.1
6390-DSAZX,2,4,161,20,1,1,73.6,73.6,1,80,2565,True,True,73.6
8098-LLAZX,2,3,261,21,1,4,95.45,396.1,1,85,3677,True,True,95.45
0265-EDXBD,2,3,258,11,1,32,74.9,2303.35,1,69,4105,True,True,74.9
7563-BIUPC,2,3,131,15,1,5,80.6,415.55,1,69,5715,True,True,80.6
2321-OMBXY,3,2,120,12,1,38,80.3,3058.65,1,81,2071,True,False,80.3
2840-XANRC,2,3,140,10,1,24,93.15,2231.05,1,73,2212,True,True,93.15
5020-ZSTTY,3,1,249,13,1,54,82.45,4350.1,1,83,4149,True,False,82.45
5804-LEPIM,2,3,129,9,1,2,70.35,139.05,1,73,2671,True,True,70.35
0122-OAHPZ,2,3,258,19,1,7,73.85,511.25,1,67,2473,True,True,73.85
2868-SNELZ,1,4,266,20,1,2,80.6,155.8,1,92,2683,True,True,80.6
4322-RCYMT,4,1,223,21,1,68,75.8,5293.95,1,81,4903,True,False,75.8
6680-NENYN,6,3,285,11,1,43,104.6,4759.85,1,91,5250,True,False,104.6
1343-EHPYB,2,3,285,15,1,63,103.4,6603.0,1,98,4352,True,True,103.4
2034-GDRCN,2,3,132,8,1,2,90.4,168.2,1,76,4157,True,True,90.4
0219-YTZUE,2,1,282,8,1,4,84.8,371.9,1,73,4939,True,True,84.8
0623-IIHUG,2,3,35,8,1,21,41.9,840.1,1,97,4778,True,True,41.9
4572-DVCGN,2,1,130,17,1,10,80.25,846.0,1,85,3598,True,True,80.25
9057-MSWCO,1,2,33,18,1,27,30.75,805.1,1,91,2927,True,True,30.75
1010-DIAUQ,1,1,140,19,1,5,96.5,492.55,1,98,5383,True,True,96.5
0259-GBZSH,2,3,260,20,1,2,85.65,181.5,1,73,3878,True,True,85.65
9601-BRXPO,2,1,273,21,1,25,104.95,2566.5,1,66,3642,True,True,104.95
6905-NIQIN,1,4,81,8,1,1,50.65,50.65,1,76,2431,True,True,50.65
5167-ZFFMM,2,2,275,15,1,1,90.85,90.85,1,81,3424,True,True,90.85
4895-TMWIR,1,4,193,12,1,11,19.95,214.75,1,80,5888,True,True,19.95
0533-BNWKF,2,3,282,10,1,55,85.45,4874.7,1,100,5502,True,True,85.45
6599-CEBNN,2,2,145,13,1,34,73.95,2524.45,1,94,5795,True,True,73.95
0979-PHULV,2,2,269,9,1,69,99.45,7007.6,1,80,4020,True,True,99.45
4800-VHZKI,2,4,193,19,1,1,19.9,19.9,1,92,3351,True,True,19.9
7989-CHGTL,2,4,193,20,1,1,19.6,19.6,1,95,3448,True,True,19.6
0334-GDDSO,2,3,274,21,1,3,81.35,233.7,1,73,2818,True,True,81.35
0578-SKVMF,1,3,146,11,1,22,83.3,1845.9,1,88,3804,True,True,83.3
5564-NEMQO,2,1,137,15,1,1,75.3,75.3,1,67,4902,True,True,75.3
9063-ZGTUY,2,4,193,8,1,61,19.4,1182.55,1,82,4221,True,True,19.4
2957-LOLHO,2,1,65,8,1,12,45.4,518.9,1,68,2887,True,True,45.4
7752-XUSCI,2,3,285,8,1,60,105.9,6396.45,1,84,4105,True,True,105.9
4110-PFEUZ,1,4,129,3,1,1,69.55,69.55,1,73,2792,True,True,69.55
0256-LTHVJ,2,3,130,3,1,28,81.05,2227.1,1,98,5201,True,True,81.05
0880-TKATG,1,3,269,3,1,4,101.15,385.9,1,84,4417,True,True,101.15
3811-VBYBZ,2,3,277,3,1,7,99.8,673.25,1,98,2031,True,True,99.8
4640-UHDOS,1,3,66,3,1,13,55.95,734.35,1,91,4498,True,True,55.95
3583-EKAPL,2,3,66,3,1,1,55.0,55.0,1,71,4877,True,True,55.0
9399-APLBT,2,3,145,3,1,1,74.7,74.7,1,80,5980,True,True,74.7
2359-KMGLI,2,3,274,3,1,24,80.25,1861.5,1,77,4418,True,True,80.25
0306-JAELE,2,3,136,3,1,5,96.1,453.4,1,66,4192,True,True,96.1
6227-HWPWX,1,1,129,3,1,15,69.0,994.8,1,73,5671,True,True,69.0
0447-BEMNG,2,1,42,19,1,48,45.3,2145.0,1,65,4926,True,True,45.3
5949-XIKAE,2,3,147,20,1,8,83.55,680.05,1,65,2879,True,True,83.55
8372-JUXUI,2,3,258,21,1,1,74.35,74.35,1,93,2814,True,True,74.35
0388-EOPEX,2,3,161,11,1,2,74.4,139.4,1,77,4263,True,True,74.4
8205-OTCHB,4,1,26,15,1,22,43.75,903.6,1,66,3099,True,False,43.75
6235-VDHOM,1,3,17,12,1,5,28.45,131.05,1,89,4099,True,True,28.45
7783-YKGDV,2,1,315,10,1,12,99.7,1238.45,1,76,2538,True,True,99.7
5609-CEBID,2,3,283,13,1,20,94.1,1782.4,1,87,2666,True,True,94.1
7218-HKQFK,2,3,136,8,1,2,94.2,167.5,1,72,3715,True,True,94.2
4636-QRJKY,2,3,262,19,1,6,80.5,502.85,1,98,5032,True,True,80.5
5956-VKDTT,2,3,258,20,1,5,74.35,334.8,1,82,5273,True,True,74.35
9412-GHEEC,1,1,273,21,1,40,104.8,4131.95,1,88,3492,True,True,104.8
0257-ZESQC,2,1,161,11,1,27,75.2,1929.35,1,99,4517,True,True,75.2
6825-UYPFK,1,1,258,15,1,23,75.6,1758.6,1,81,2115,True,True,75.6
8397-MVTAZ,2,3,269,8,1,34,100.05,3480.0,1,72,2568,True,True,100.05
9282-IZGQK,2,3,259,8,1,1,85.0,85.0,1,80,5679,True,True,85.0
1342-JPNKI,2,1,260,8,1,10,86.05,834.1,1,85,2966,True,True,86.05
2817-NTQDO,2,2,39,17,1,13,45.55,597.0,1,74,4856,True,True,45.55
6986-IJDHX,2,4,147,18,1,39,86.3,3266.0,1,98,3364,True,True,86.3
5301-GAUUY,2,1,274,3,1,32,80.35,2596.15,1,92,5974,True,True,80.35
0939-YAPAF,2,3,269,5,1,35,100.25,3527.6,1,72,2744,True,True,100.25
4710-FDUIZ,3,2,277,6,1,56,100.3,5614.45,1,67,5170,True,False,100.3
1218-VKFPE,1,4,193,4,1,12,19.0,233.55,1,72,3535,True,True,19.0
3627-FHKBK,1,4,161,3,1,1,75.3,75.3,1,87,3244,True,True,75.3
2865-TCHJW,2,3,268,3,1,4,89.2,346.2,1,74,5808,True,True,89.2
5192-EBGOV,2,3,260,5,1,1,85.7,85.7,1,66,4880,True,True,85.7
0719-SYFRB,2,4,238,5,1,12,61.65,713.75,1,67,5670,True,True,61.65
3419-SNJJD,1,1,301,5,1,65,105.25,6786.4,1,91,4196,True,True,105.25
6543-CPZMK,2,3,17,6,1,9,29.95,248.95,1,83,2573,True,True,29.95
4765-OXPPD,1,4,125,6,1,9,65.0,663.05,1,76,3983,True,True,65.0
1009-IRMNA,1,1,193,6,1,7,20.0,137.6,1,100,4479,True,True,20.0
4554-YGZIH,1,2,275,4,1,49,90.05,4547.25,1,96,5059,True,True,90.05
5099-BAILX,2,1,289,4,1,43,110.75,4687.9,1,65,2728,True,True,110.75
7207-RMRDB,2,3,285,3,1,65,105.5,6985.65,1,89,5720,True,True,105.5
4913-EHYUI,4,1,301,5,1,56,104.55,5794.65,1,91,6268,True,False,104.55
0195-IESCP,2,3,259,6,1,10,85.25,855.3,1,75,3573,True,True,85.25
4580-TMHJU,1,3,67,8,1,43,56.15,2499.3,1,65,2152,True,True,56.15
0970-ETWGE,2,3,132,3,1,1,89.55,89.55,1,99,4996,True,True,89.55
1626-ERCMM,2,3,261,3,1,20,94.55,1899.65,1,84,5604,True,True,94.55
0887-HJGAR,2,4,65,5,1,1,45.7,45.7,1,95,2295,True,True,45.7
5644-PDMZC,1,3,275,5,1,2,89.5,161.5,1,80,2065,True,True,89.5
9576-ANLXO,2,1,129,5,1,3,69.55,222.3,1,87,2876,True,True,69.55
2024-BASKD,2,4,137,6,1,1,74.6,74.6,1,94,3860,True,True,74.6
4160-AMJTL,1,3,193,6,1,8,19.65,164.3,1,83,5432,True,True,19.65
4464-JCOLN,3,4,193,6,1,2,19.85,35.9,1,68,2362,True,False,19.85
5650-VDUDS,2,4,1,4,1,4,24.25,96.05,1,93,2038,True,True,24.25
7538-GWHML,1,3,129,4,1,2,69.65,145.15,1,80,2323,True,True,69.65
3859-CVCET,1,4,65,3,1,4,45.65,191.05,1,78,2864,True,True,45.65
3276-HDUEG,2,4,258,5,1,1,75.05,75.05,1,78,4838,True,True,75.05
0823-HSCDJ,2,3,20,6,1,52,49.15,2550.9,1,90,5597,True,True,49.15
0822-GAVAP,2,3,2,4,1,2,34.7,62.25,1,65,3146,True,True,34.7
1448-PWKYE,1,3,130,3,1,1,80.0,80.0,1,88,2046,True,True,80.0
0067-DKWBL,2,3,97,3,1,2,49.25,91.1,1,89,3475,True,True,49.25
2276-YDAVZ,2,2,258,5,1,3,75.1,270.7,1,69,4965,True,True,75.1
5896-NPFWW,2,3,73,5,1,3,50.15,168.15,1,86,3273,True,True,50.15
7133-VBDCG,2,1,177,5,1,25,79.85,2015.35,1,85,4535,True,True,79.85
1029-QFBEN,1,4,193,6,1,1,19.55,19.55,1,66,3556,True,True,19.55
4952-YSOGZ,2,3,259,6,1,4,85.95,381.3,1,74,5640,True,True,85.95
1589-AGTLK,2,3,65,6,1,3,45.35,141.5,1,67,2450,True,True,45.35
5244-IRFIH,2,3,261,4,1,33,94.5,3105.55,1,96,4333,True,True,94.5
2684-EIWEO,1,2,314,4,1,30,91.7,2758.15,1,97,2482,True,True,91.7
6439-GTPCA,2,3,270,3,1,45,87.25,3941.7,1,73,5269,True,True,87.25
5138-WVKYJ,1,3,293,5,1,10,98.55,1008.55,1,80,3658,True,True,98.55
6683-VLCTZ,2,3,269,6,1,20,98.55,1842.8,1,92,5444,True,True,98.55
2189-WWOEW,2,1,146,8,1,15,85.9,1269.55,1,96,3579,True,True,85.9
1894-IGFSG,1,3,132,3,1,22,89.25,1907.85,1,82,3161,True,True,89.25
7379-POKDZ,2,3,129,3,1,3,70.3,208.85,1,66,3038,True,True,70.3
0236-HFWSV,2,3,261,5,1,15,93.35,1444.65,1,77,5264,True,True,93.35
3900-AQPHZ,1,4,193,5,1,1,19.9,19.9,1,100,4248,True,True,19.9
5842-POCOP,2,4,170,5,1,5,88.9,454.15,1,79,4356,True,True,88.9
2037-XJFUP,4,3,140,6,1,33,95.8,3036.75,1,76,4161,True,False,95.8
7314-OXENN,2,3,274,6,1,2,82.0,184.65,1,97,3051,True,True,82.0
0322-CHQRU,1,3,65,6,1,2,45.35,89.5,1,81,3478,True,True,45.35
4678-DVQEO,2,3,69,4,1,1,52.2,52.2,1,71,4138,True,True,52.2
0691-IFBQW,4,3,317,4,1,46,110.0,4874.8,1,81,2403,True,False,110.0
3009-JWMPU,4,3,269,1,1,62,96.75,6125.4,1,92,5016,True,False,96.75
1450-GALXR,2,3,265,1,1,10,98.5,1058.25,1,74,5184,True,True,98.5
3138-BKYAV,2,3,147,1,1,6,85.35,489.45,1,75,4694,True,True,85.35
4289-DTDKW,2,3,277,2,1,40,101.3,4113.1,1,70,2576,True,True,101.3
1820-TQVEV,2,3,129,2,1,1,69.55,69.55,1,76,3042,True,True,69.55
2239-JALAW,4,1,285,2,1,58,103.25,6017.65,1,74,6105,True,False,103.25
4853-RULSV,6,2,297,1,1,70,104.0,7250.15,1,80,4544,True,False,104.0
6275-YDUVO,2,4,138,1,1,2,86.2,178.7,1,95,2969,True,True,86.2
0115-TFERT,2,3,289,1,1,21,111.2,2317.1,1,89,4123,True,True,111.2
2311-QYMUQ,2,2,155,2,1,16,89.45,1430.25,1,73,3696,True,True,89.45
3643-AHCFP,2,1,261,4,1,7,95.6,644.35,1,83,3265,True,True,95.6
3104-OWCGK,3,3,155,14,1,60,90.95,5453.4,1,76,4111,True,False,90.95
9101-BWFSS,3,3,313,14,1,50,108.55,5610.7,1,82,4274,True,False,108.55
9231-ZJYAM,2,3,131,14,1,4,78.85,292.8,1,72,5301,True,True,78.85
6982-SSHFK,1,4,65,5,1,1,44.4,44.4,1,89,3522,True,True,44.4
0727-BMPLR,4,3,269,5,1,55,100.0,5509.3,1,83,5679,True,False,100.0
1038-ZAGBI,3,1,193,5,1,12,19.8,229.6,1,94,2653,True,False,19.8
3027-ZTDHO,2,3,132,8,1,1,89.9,89.9,1,80,5951,True,True,89.9
2382-BCKQJ,4,3,269,5,1,62,100.15,6413.65,1,91,5600,True,False,100.15
2207-NHRJK,1,3,81,5,1,1,50.8,50.8,1,85,3718,True,True,50.8
0947-MUGVO,2,3,145,5,1,20,73.65,1463.5,1,95,5849,True,True,73.65
9944-HKVVB,2,3,148,5,1,3,95.1,307.4,1,77,5861,True,True,95.1
4124-MMETB,2,2,261,5,1,22,94.65,2104.55,1,85,3665,True,True,94.65
3671-SHRSP,2,4,141,6,1,4,80.6,319.15,1,86,3080,True,True,80.6
3313-QKNKB,3,3,259,6,1,59,85.55,5084.65,1,80,6304,True,False,85.55
5073-WXOYN,2,3,20,6,1,60,50.8,3027.4,1,67,4941,True,True,50.8
0207-MDKNV,1,3,176,4,1,15,105.1,1582.75,1,84,2122,True,True,105.1
9851-KIELU,2,3,192,4,1,10,110.1,1043.3,1,76,5803,True,True,110.1
3908-BLSYF,1,3,138,19,1,6,83.9,497.55,1,97,3962,True,True,83.9
7549-MYGPK,2,3,316,19,1,63,100.55,6215.35,1,79,5413,True,True,100.55
3804-RVTGV,2,1,285,19,1,50,103.85,5017.9,1,100,5812,True,True,103.85
9227-LUNBG,1,3,1,19,1,1,24.6,24.6,1,76,5768,True,True,24.6
4315-MURBD,2,1,168,19,1,12,98.9,1120.95,1,71,5559,True,True,98.9
9734-YWGEX,1,2,269,19,1,9,98.3,923.5,1,81,2954,True,True,98.3
2719-BDAQO,1,3,164,19,1,17,93.85,1625.65,1,93,4940,True,True,93.85
0781-LKXBR,2,3,269,19,1,9,100.5,918.6,1,70,4038,True,True,100.5
1907-UBQFC,2,3,145,19,1,10,72.85,688.65,1,99,3189,True,True,72.85
6513-EECDB,2,3,258,19,1,1,73.55,73.55,1,94,4369,True,True,73.55
7074-IEVOJ,2,3,274,20,1,3,79.4,205.05,1,91,3501,True,True,79.4
9625-QSTYE,2,3,153,21,1,13,81.15,952.3,1,79,4806,True,True,81.15
4750-ZRXIU,2,3,259,11,1,4,84.6,360.1,1,83,2467,True,True,84.6
6400-BWQKW,2,3,290,15,1,6,79.05,434.5,1,99,3263,True,True,79.05
6680-WKXRZ,1,1,258,8,1,3,74.4,215.8,1,97,2054,True,True,74.4
7028-DVOIQ,2,3,269,8,1,35,99.05,3395.8,1,82,2074,True,True,99.05
4208-UFFGW,1,4,65,8,1,2,44.95,85.15,1,84,5900,True,True,44.95
9448-REEVD,1,2,65,8,1,1,44.7,44.7,1,74,3700,True,True,44.7
9117-SHLZX,2,4,65,18,1,1,45.7,45.7,1,72,3571,True,True,45.7
9889-TMAHG,1,2,168,3,1,8,100.3,832.35,1,74,5084,True,True,100.3
4541-RMRLG,1,3,193,5,1,7,19.25,112.3,1,82,4489,True,True,19.25
3158-MOERK,2,3,261,6,1,2,96.0,174.8,1,83,3391,True,True,96.0
7294-TMAOP,1,3,132,4,1,1,90.55,90.55,1,72,2627,True,True,90.55
8919-FYFQZ,2,3,17,3,1,44,30.35,1359.7,1,96,4829,True,True,30.35
2834-JRTUA,6,3,305,3,1,71,108.05,7532.15,1,81,5200,True,False,108.05
5875-YPQFJ,2,3,129,5,1,1,69.9,69.9,1,84,5367,True,True,69.9
6646-QVXLR,4,3,285,5,1,62,103.75,6383.35,1,91,5052,True,False,103.75
8603-IJWDN,2,3,259,5,1,1,86.6,86.6,1,93,5228,True,True,86.6
9369-XFEHK,2,1,274,6,1,33,80.6,2656.5,1,72,3601,True,True,80.6
3842-IYKUE,1,2,278,6,1,35,85.3,2917.5,1,88,2455,True,True,85.3
6641-XRPSU,2,2,129,6,1,34,70.0,2416.1,1,93,2318,True,True,70.0
1374-DMZUI,2,3,261,4,1,4,94.3,424.45,1,99,5419,True,True,94.3
8357-EQXFO,2,3,140,4,1,7,95.35,660.9,1,92,3077,True,True,95.35
1989-PRJHP,2,3,258,3,1,27,75.5,1893.95,1,65,2377,True,True,75.5
9524-EGPJC,2,3,263,5,1,18,90.1,1612.75,1,80,4260,True,True,90.1
6993-OHLXR,1,3,129,6,1,2,68.95,119.75,1,84,5225,True,True,68.95
8818-XYFCQ,2,2,293,4,1,32,99.55,3204.65,1,71,5026,True,True,99.55
4695-VADHF,1,3,74,3,1,18,57.45,990.85,1,84,2989,True,True,57.45
3863-IUBJR,3,2,66,3,1,12,53.65,696.35,1,78,2595,True,False,53.65
4822-RVYBB,2,3,269,5,1,8,100.6,819.4,1,90,5906,True,True,100.6
8436-BJUMM,2,3,260,5,1,26,83.75,2070.6,1,84,2404,True,True,83.75
4184-TJFAN,2,4,167,5,1,3,88.3,273.75,1,68,4486,True,True,88.3
4145-UQXUQ,2,3,140,6,1,8,92.1,729.95,1,81,5662,True,True,92.1
9948-YPTDG,2,3,177,6,1,38,79.45,3013.05,1,85,2405,True,True,79.45
1236-WFCDV,1,2,132,6,1,14,90.45,1266.1,1,96,4777,True,True,90.45
4883-QICIH,2,1,129,8,1,32,69.75,2347.9,1,96,2356,True,True,69.75
8329-IBCTI,1,4,193,4,1,1,19.65,19.65,1,99,5881,True,True,19.65
1271-SJBGZ,2,3,14,3,1,12,43.65,526.95,1,74,2437,True,True,43.65
5669-SRAIP,1,3,10,5,1,5,39.5,210.75,1,93,2863,True,True,39.5
5981-ITEMU,2,1,261,6,1,40,97.1,3706.95,1,67,3099,True,True,97.1
6941-PMGEP,2,3,130,4,1,5,80.0,412.5,1,97,3937,True,True,80.0
1624-WOIWJ,2,4,163,3,1,10,84.7,832.05,1,69,5686,True,True,84.7
2074-GKOWZ,2,1,132,3,1,2,89.55,185.55,1,73,3851,True,True,89.55
0376-YMCJC,2,3,264,5,1,23,90.6,1943.2,1,82,4359,True,True,90.6
0634-SZPQA,2,1,292,5,1,23,90.05,2169.8,1,67,4650,True,True,90.05
5536-RTPWK,2,1,277,5,1,49,99.05,4853.75,1,100,5157,True,True,99.05
6166-ILMNY,1,1,129,6,1,2,69.75,144.55,1,68,5667,True,True,69.75
3097-NNSPB,2,2,81,6,1,2,49.05,91.1,1,98,2960,True,True,49.05
0655-RBDUG,2,1,269,6,1,7,98.05,713.0,1,86,2561,True,True,98.05
4361-BKAXE,2,1,321,4,1,41,114.5,4527.45,1,80,3038,True,True,114.5
9878-TNQGW,2,3,130,4,1,2,80.95,171.15,1,65,3533,True,True,80.95
4441-NIHPT,2,3,137,3,1,13,74.3,940.35,1,97,2995,True,True,74.3
8999-BOHSE,1,1,132,5,1,11,89.7,1047.7,1,89,2202,True,True,89.7
7029-RPUAV,2,2,269,6,1,17,100.45,1622.45,1,87,5508,True,True,100.45
4607-CHPCA,4,3,132,4,1,25,90.4,2178.6,1,100,5801,True,False,90.4
8824-RWFXJ,2,4,89,3,1,3,56.15,168.15,1,83,2539,True,True,56.15
9763-PDTKK,2,1,174,3,1,4,94.4,387.2,1,74,4249,True,True,94.4
7627-JKIAZ,2,2,266,5,1,37,78.95,2839.65,1,97,3982,True,True,78.95
4081-DYXAV,4,2,4,5,1,19,44.85,893.55,1,72,5182,True,False,44.85
8111-SLLHI,2,3,285,5,1,39,105.65,4284.8,1,96,4687,True,True,105.65
0927-LCSMG,1,4,137,6,1,7,74.65,544.55,1,75,3331,True,True,74.65
8257-RZAHR,2,1,228,6,1,14,64.7,941.0,1,86,4049,True,True,64.7
5293-WXJAK,2,1,273,6,1,11,104.05,1133.65,1,82,4553,True,True,104.05
0841-NULXI,2,3,2,8,1,1,35.55,35.55,1,71,3958,True,True,35.55
7851-WZEKY,2,3,261,4,1,2,95.15,196.9,1,82,2414,True,True,95.15
8844-TONUD,2,4,140,1,1,13,96.65,1162.85,1,75,5295,True,True,96.65
4086-YQSNZ,2,3,131,1,1,3,80.4,224.05,1,89,3834,True,True,80.4
5868-CZJDR,2,4,17,1,1,1,31.35,31.35,1,85,3605,True,True,31.35
0135-NMXAP,2,1,276,2,1,12,89.75,1052.4,1,97,5671,True,True,89.75
6270-OMFIW,4,3,148,2,1,60,94.4,5610.25,1,99,4990,True,False,94.4
0107-WESLM,2,3,193,2,1,1,19.85,19.85,1,66,3874,True,True,19.85
3992-YWPKO,2,2,289,1,1,6,109.9,669.45,1,69,5750,True,True,109.9
0125-LZQXK,2,3,144,1,1,15,101.35,1553.95,1,99,3025,True,True,101.35
8399-YNDCH,2,1,75,1,1,21,60.05,1236.15,1,70,4716,True,True,60.05
5673-FSSMF,2,3,195,2,1,1,60.15,60.15,1,91,4611,True,True,60.15
1579-KLYDT,2,3,268,4,1,7,90.45,593.45,1,98,5356,True,True,90.45
3927-NLNRY,4,1,148,14,1,53,94.25,4867.95,1,96,5414,True,False,94.25
