service_key,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies
34,No,No phone service,DSL,Yes,No,No,No,No,Yes
35,No,No phone service,DSL,Yes,No,No,No,Yes,No
36,No,No phone service,DSL,Yes,No,No,No,Yes,Yes
37,No,No phone service,DSL,Yes,No,No,Yes,No,No
38,No,No phone service,DSL,Yes,No,No,Yes,No,Yes
39,No,No phone service,DSL,Yes,No,No,Yes,Yes,No
40,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes
41,No,No phone service,DSL,Yes,No,Yes,No,No,No
42,No,No phone service,DSL,Yes,No,Yes,No,No,Yes
43,No,No phone service,DSL,Yes,No,Yes,No,Yes,No
44,No,No phone service,DSL,Yes,No,Yes,No,Yes,Yes
45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No
46,No,No phone service,DSL,Yes,No,Yes,Yes,No,Yes
47,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,No
48,No,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes
49,No,No phone service,DSL,Yes,Yes,No,No,No,No
50,No,No phone service,DSL,Yes,Yes,No,No,No,Yes
51,No,No phone service,DSL,Yes,Yes,No,No,Yes,No
52,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes
53,No,No phone service,DSL,Yes,Yes,No,Yes,No,No
54,No,No phone service,DSL,Yes,Yes,No,Yes,No,Yes
55,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,No
56,No,No phone service,DSL,Yes,Yes,No,Yes,Yes,Yes
57,No,No phone service,DSL,Yes,Yes,Yes,No,No,No
58,No,No phone service,DSL,Yes,Yes,Yes,No,No,Yes
59,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No
60,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes
61,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,No
62,No,No phone service,DSL,Yes,Yes,Yes,Yes,No,Yes
63,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,No
64,No,No phone service,DSL,Yes,Yes,Yes,Yes,Yes,Yes
65,Yes,No,DSL,No,No,No,No,No,No
66,Yes,No,DSL,No,No,No,No,No,Yes
67,Yes,No,DSL,No,No,No,No,Yes,No
68,Yes,No,DSL,No,No,No,No,Yes,Yes
69,Yes,No,DSL,No,No,No,Yes,No,No
70,Yes,No,DSL,No,No,No,Yes,No,Yes
71,Yes,No,DSL,No,No,No,Yes,Yes,No
72,Yes,No,DSL,No,No,No,Yes,Yes,Yes
73,Yes,No,DSL,No,No,Yes,No,No,No
74,Yes,No,DSL,No,No,Yes,No,No,Yes
75,Yes,No,DSL,No,No,Yes,No,Yes,No
76,Yes,No,DSL,No,No,Yes,No,Yes,Yes
77,Yes,No,DSL,No,No,Yes,Yes,No,No
78,Yes,No,DSL,No,No,Yes,Yes,No,Yes
79,Yes,No,DSL,No,No,Yes,Yes,Yes,No
80,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes
81,Yes,No,DSL,No,Yes,No,No,No,No
82,Yes,No,DSL,No,Yes,No,No,No,Yes
83,Yes,No,DSL,No,Yes,No,No,Yes,No
84,Yes,No,DSL,No,Yes,No,No,Yes,Yes
85,Yes,No,DSL,No,Yes,No,Yes,No,No
86,Yes,No,DSL,No,Yes,No,Yes,No,Yes
87,Yes,No,DSL,No,Yes,No,Yes,Yes,No
88,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes
89,Yes,No,DSL,No,Yes,Yes,No,No,No
90,Yes,No,DSL,No,Yes,Yes,No,No,Yes
91,Yes,No,DSL,No,Yes,Yes,No,Yes,No
92,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes
93,Yes,No,DSL,No,Yes,Yes,Yes,No,No
94,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes
95,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No
96,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes
97,Yes,No,DSL,Yes,No,No,No,No,No
98,Yes,No,DSL,Yes,No,No,No,No,Yes
99,Yes,No,DSL,Yes,No,No,No,Yes,No
100,Yes,No,DSL,Yes,No,No,No,Yes,Yes
101,Yes,No,DSL,Yes,No,No,Yes,No,No
102,Yes,No,DSL,Yes,No,No,Yes,No,Yes
103,Yes,No,DSL,Yes,No,No,Yes,Yes,No
104,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes
105,Yes,No,DSL,Yes,No,Yes,No,No,No
106,Yes,No,DSL,Yes,No,Yes,No,No,Yes
107,Yes,No,DSL,Yes,No,Yes,No,Yes,No
108,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes
109,Yes,No,DSL,Yes,No,Yes,Yes,No,No
110,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes
111,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No
112,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes
113,Yes,No,DSL,Yes,Yes,No,No,No,No
114,Yes,No,DSL,Yes,Yes,No,No,No,Yes
115,Yes,No,DSL,Yes,Yes,No,No,Yes,No
116,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes
117,Yes,No,DSL,Yes,Yes,No,Yes,No,No
118,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes
119,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No
120,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes
121,Yes,No,DSL,Yes,Yes,Yes,No,No,No
122,Yes,No,DSL,Yes,Yes,Yes,No,No,Yes
123,Yes,No,DSL,Yes,Yes,Yes,No,Yes,No
124,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes
125,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No
126,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes
127,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No
128,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes
129,Yes,No,Fiber optic,No,No,No,No,No,No
130,Yes,No,Fiber optic,No,No,No,No,No,Yes
131,Yes,No,Fiber optic,No,No,No,No,Yes,No
132,Yes,No,Fiber optic,No,No,No,No,Yes,Yes
133,Yes,No,Fiber optic,No,No,No,Yes,No,No
134,Yes,No,Fiber optic,No,No,No,Yes,No,Yes
135,Yes,No,Fiber optic,No,No,No,Yes,Yes,No
136,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes
137,Yes,No,Fiber optic,No,No,Yes,No,No,No
138,Yes,No,Fiber optic,No,No,Yes,No,No,Yes
139,Yes,No,Fiber optic,No,No,Yes,No,Yes,No
140,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes
141,Yes,No,Fiber optic,No,No,Yes,Yes,No,No
142,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes
143,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No
144,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes
145,Yes,No,Fiber optic,No,Yes,No,No,No,No
146,Yes,No,Fiber optic,No,Yes,No,No,No,Yes
147,Yes,No,Fiber optic,No,Yes,No,No,Yes,No
148,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes
149,Yes,No,Fiber optic,No,Yes,No,Yes,No,No
150,Yes,No,Fiber optic,No,Yes,No,Yes,No,Yes
151,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No
152,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes
153,Yes,No,Fiber optic,No,Yes,Yes,No,No,No
154,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes
155,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No
156,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes
157,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No
158,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes
159,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No
160,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
161,Yes,No,Fiber optic,Yes,No,No,No,No,No
162,Yes,No,Fiber optic,Yes,No,No,No,No,Yes
163,Yes,No,Fiber optic,Yes,No,No,No,Yes,No
164,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes
165,Yes,No,Fiber optic,Yes,No,No,Yes,No,No
166,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes
167,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No
168,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes
169,Yes,No,Fiber optic,Yes,No,Yes,No,No,No
170,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes
171,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No
172,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes
173,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No
174,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,Yes
175,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,No
176,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
177,Yes,No,Fiber optic,Yes,Yes,No,No,No,No
178,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes
179,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No
180,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes
181,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No
182,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes
183,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No
184,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
185,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No
186,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes
187,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No
188,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
189,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No
190,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes
191,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No
192,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
193,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
194,Yes,Yes,DSL,No,No,No,No,No,No
195,Yes,Yes,DSL,No,No,No,No,No,Yes
196,Yes,Yes,DSL,No,No,No,No,Yes,No
197,Yes,Yes,DSL,No,No,No,No,Yes,Yes
198,Yes,Yes,DSL,No,No,No,Yes,No,No
199,Yes,Yes,DSL,No,No,No,Yes,No,Yes
200,Yes,Yes,DSL,No,No,No,Yes,Yes,No
201,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes
202,Yes,Yes,DSL,No,No,Yes,No,No,No
203,Yes,Yes,DSL,No,No,Yes,No,No,Yes
204,Yes,Yes,DSL,No,No,Yes,No,Yes,No
205,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes
206,Yes,Yes,DSL,No,No,Yes,Yes,No,No
207,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes
208,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No
209,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes
210,Yes,Yes,DSL,No,Yes,No,No,No,No
211,Yes,Yes,DSL,No,Yes,No,No,No,Yes
212,Yes,Yes,DSL,No,Yes,No,No,Yes,No
213,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes
214,Yes,Yes,DSL,No,Yes,No,Yes,No,No
215,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes
216,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No
217,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes
218,Yes,Yes,DSL,No,Yes,Yes,No,No,No
219,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes
220,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No
221,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes
222,Yes,Yes,DSL,No,Yes,Yes,Yes,No,No
223,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes
224,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No
225,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes
226,Yes,Yes,DSL,Yes,No,No,No,No,No
227,Yes,Yes,DSL,Yes,No,No,No,No,Yes
228,Yes,Yes,DSL,Yes,No,No,No,Yes,No
229,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes
230,Yes,Yes,DSL,Yes,No,No,Yes,No,No
231,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes
232,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No
233,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes
234,Yes,Yes,DSL,Yes,No,Yes,No,No,No
235,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes
236,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No
237,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes
238,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No
239,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes
240,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No
241,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes
242,Yes,Yes,DSL,Yes,Yes,No,No,No,No
243,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes
244,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No
245,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes
246,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No
247,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes
248,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No
249,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes
250,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No
251,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes
252,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No
253,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes
254,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No
255,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes
256,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No
257,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes
258,Yes,Yes,Fiber optic,No,No,No,No,No,No
259,Yes,Yes,Fiber optic,No,No,No,No,No,Yes
260,Yes,Yes,Fiber optic,No,No,No,No,Yes,No
261,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes
262,Yes,Yes,Fiber optic,No,No,No,Yes,No,No
263,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes
264,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No
265,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes
266,Yes,Yes,Fiber optic,No,No,Yes,No,No,No
267,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes
268,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No
269,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes
270,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No
271,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes
272,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No
273,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes
274,Yes,Yes,Fiber optic,No,Yes,No,No,No,No
275,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes
276,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No
277,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes
278,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No
279,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes
280,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No
281,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes
282,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No
283,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes
284,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No
285,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes
286,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No
287,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,Yes
288,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No
289,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes
290,Yes,Yes,Fiber optic,Yes,No,No,No,No,No
291,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes
292,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No
293,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes
294,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No
295,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes
296,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No
297,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes
298,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No
299,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes
300,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No
301,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes
302,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,No
303,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes
304,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No
305,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes
306,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No
307,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes
308,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No
309,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes
310,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No
311,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes
312,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No
313,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes
314,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No
315,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes
316,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No
317,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes
318,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No
319,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,Yes
320,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No
321,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes
322,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
